task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
287	2f/9f44b7	7726acdb-5b59-4b8d-9157-2a496ccecab0	generateRDF (286)	COMPLETED	0	2024-11-02 19:46:22.544	5m 28s	3m 27s	29.4%	54 MB	61 MB	6.6 GB	17.3 KB
48	6b/c6506c	8587965e-598b-470b-babc-0e1c6062163c	generateRDF (47)	COMPLETED	0	2024-11-02 19:46:19.007	5m 39s	3m 44s	35.6%	53.9 MB	61 MB	8 GB	17.3 KB
56	12/1d5714	4104acd3-ae8b-4b7d-85d8-c08bf63a5777	generateRDF (55)	COMPLETED	0	2024-11-02 19:46:19.038	5m 39s	3m 50s	32.5%	53.9 MB	61 MB	8 GB	17.3 KB
69	72/0f705d	62f0d19e-6455-48e0-91ca-bdcbe4752748	generateRDF (68)	COMPLETED	0	2024-11-02 19:46:19.123	5m 39s	3m 45s	35.9%	53.9 MB	61 MB	8 GB	17.3 KB
82	94/951c6d	f9275410-38f3-4f5f-adfa-dc30356339e1	generateRDF (81)	COMPLETED	0	2024-11-02 19:46:19.334	5m 39s	3m 46s	35.9%	54 MB	61 MB	8 GB	17.3 KB
81	88/c9f0eb	d62d782f-e490-464e-a5e6-92a3704e69d3	generateRDF (80)	COMPLETED	0	2024-11-02 19:46:19.394	5m 39s	3m 43s	35.2%	53.9 MB	61 MB	8 GB	17.3 KB
130	a1/724f56	b4103eb3-8957-40fa-975c-8f1485aa97d1	generateRDF (129)	COMPLETED	0	2024-11-02 19:46:20.259	5m 38s	3m 45s	35.1%	53.8 MB	61 MB	8 GB	17.3 KB
131	8c/13a696	bfae5eff-f3f7-4fc2-9827-ed3508aed8a5	generateRDF (130)	COMPLETED	0	2024-11-02 19:46:20.292	5m 39s	3m 42s	31.3%	53.8 MB	61 MB	8 GB	17.3 KB
138	98/ad24ba	c8cb00aa-de0f-40b4-9d1c-5a062095f513	generateRDF (137)	COMPLETED	0	2024-11-02 19:46:20.505	5m 38s	3m 51s	30.4%	53.8 MB	61 MB	8 GB	17.3 KB
149	50/192339	63eccd62-97a8-4e46-b78c-61bcfa287f72	generateRDF (148)	COMPLETED	0	2024-11-02 19:46:20.600	5m 39s	3m 40s	33.4%	54 MB	61 MB	8 GB	17.3 KB
177	d8/ee8164	14dd1ab2-937a-42cf-a4a8-8aa6ce9752b5	generateRDF (176)	COMPLETED	0	2024-11-02 19:46:21.172	5m 38s	3m 51s	33.2%	53.9 MB	61 MB	8 GB	17.3 KB
176	05/4086ca	23d454a2-a420-4eea-b54f-565fe3205348	generateRDF (175)	COMPLETED	0	2024-11-02 19:46:21.182	5m 38s	3m 47s	33.1%	54.1 MB	61 MB	8 GB	17.3 KB
213	1b/976490	f34290f4-ec31-4caa-8f69-710d7f7a49dd	generateRDF (212)	COMPLETED	0	2024-11-02 19:46:21.985	5m 38s	3m 41s	33.7%	53.8 MB	61 MB	8 GB	17.3 KB
222	ac/2910ef	59b1e9bf-9ef6-4985-b550-e2fe9291586f	generateRDF (221)	COMPLETED	0	2024-11-02 19:46:22.095	5m 38s	3m 31s	37.9%	53.8 MB	61 MB	8 GB	17.3 KB
12	3c/69a6c3	949c9d66-db07-4f11-9cc3-886626a52bc9	generateRDF (11)	COMPLETED	0	2024-11-02 19:46:18.774	5m 49s	4m	28.6%	54 MB	61 MB	8 GB	17.3 KB
11	ea/1d29c5	551a0ae2-4d55-4100-8d93-e2740bfdab5b	generateRDF (10)	COMPLETED	0	2024-11-02 19:46:18.841	5m 49s	3m 55s	28.8%	53.8 MB	61 MB	8 GB	17.3 KB
13	6e/ee85cb	b6fe5a47-a7fd-4c56-b384-5d1ec31086db	generateRDF (12)	COMPLETED	0	2024-11-02 19:46:18.866	5m 50s	3m 58s	29.0%	53.8 MB	61 MB	8 GB	17.3 KB
5	36/7b0a7c	08d3e7f8-fd48-479c-8ce0-23b298424155	generateRDF (4)	COMPLETED	0	2024-11-02 19:46:18.872	5m 50s	3m 57s	28.5%	53.9 MB	61 MB	8 GB	17.3 KB
24	98/f1e46a	dac76f38-742e-4f69-b422-28cd8bfc7cbf	generateRDF (23)	COMPLETED	0	2024-11-02 19:46:18.880	5m 50s	3m 57s	24.7%	53.8 MB	61 MB	8 GB	17.3 KB
16	2c/06cffd	e530d7fb-2810-4bb7-89a2-32b3bc9e0d93	generateRDF (15)	COMPLETED	0	2024-11-02 19:46:18.891	5m 50s	3m 57s	29.3%	53.8 MB	61 MB	8 GB	17.3 KB
7	54/490c13	247fd1de-f378-41ab-aa4f-9bb56c468af4	generateRDF (6)	COMPLETED	0	2024-11-02 19:46:18.913	5m 50s	4m 1s	29.5%	53.7 MB	61 MB	8 GB	17.3 KB
26	cd/be843f	51f9f762-0297-4c9a-8c89-40d22c85960a	generateRDF (25)	COMPLETED	0	2024-11-02 19:46:18.936	5m 50s	4m 1s	29.1%	53.9 MB	61 MB	8 GB	17.3 KB
10	e3/ce91cb	e0cfe344-7ed4-4c13-9264-b5767b1d9d9f	generateRDF (9)	COMPLETED	0	2024-11-02 19:46:18.943	5m 50s	4m	29.3%	53.7 MB	61 MB	8 GB	17.3 KB
31	f0/5aca3b	5140ca31-7411-4a69-96d4-b57837377031	generateRDF (30)	COMPLETED	0	2024-11-02 19:46:18.958	5m 50s	3m 56s	23.9%	54 MB	61 MB	8 GB	17.3 KB
54	30/d815be	39eec447-003a-4556-a059-cf9b9dd0af03	generateRDF (53)	COMPLETED	0	2024-11-02 19:46:19.030	5m 51s	3m 52s	32.0%	54.1 MB	61 MB	8 GB	17.3 KB
6	0f/8730b1	a214869a-0178-441f-aa1a-c059f61ce877	generateRDF (5)	COMPLETED	0	2024-11-02 19:46:19.037	5m 51s	3m 52s	25.0%	53.8 MB	61 MB	8 GB	17.3 KB
55	6a/cb0937	28f96821-8414-446e-81b5-b3760bce53d3	generateRDF (54)	COMPLETED	0	2024-11-02 19:46:19.061	5m 51s	3m 54s	33.6%	54 MB	61 MB	8 GB	17.3 KB
59	ea/b02e6d	79c20078-97ec-4798-9f12-6f2d07b00df1	generateRDF (58)	COMPLETED	0	2024-11-02 19:46:19.077	5m 51s	3m 54s	35.5%	53.9 MB	61 MB	8 GB	17.3 KB
84	35/d6ab16	d2e79308-b629-48ed-a5a0-1bae1daf6921	generateRDF (83)	COMPLETED	0	2024-11-02 19:46:19.307	5m 51s	3m 51s	33.8%	53.8 MB	61 MB	8 GB	17.3 KB
88	26/63a1b8	cdc1acbc-756a-4f73-8856-7225ab2c18fe	generateRDF (87)	COMPLETED	0	2024-11-02 19:46:19.429	5m 51s	3m 57s	32.5%	53.8 MB	61 MB	8 GB	17.3 KB
87	79/fe8f21	137e41e4-e967-48d2-99a5-dede1381cd3e	generateRDF (86)	COMPLETED	0	2024-11-02 19:46:19.433	5m 51s	3m 52s	34.3%	53.9 MB	61 MB	8 GB	17.3 KB
98	7d/2cbdfb	fa49db0f-37f2-4ad2-921e-75a8137cbc64	generateRDF (97)	COMPLETED	0	2024-11-02 19:46:19.585	5m 51s	3m 56s	35.2%	53.8 MB	61 MB	8 GB	17.3 KB
99	d6/b13507	f6a4cea5-d39d-44a0-9a8b-13593e905a52	generateRDF (98)	COMPLETED	0	2024-11-02 19:46:19.683	5m 51s	3m 58s	31.7%	53.8 MB	61 MB	8 GB	17.3 KB
104	31/01a9de	1b05c1ca-edd9-464c-89d6-7860f1c88ec1	generateRDF (103)	COMPLETED	0	2024-11-02 19:46:19.735	5m 51s	3m 55s	33.0%	53.9 MB	61 MB	8 GB	17.3 KB
105	d0/8d8ab2	eb737962-259d-4b0e-86fc-1c5937781466	generateRDF (104)	COMPLETED	0	2024-11-02 19:46:19.761	5m 51s	3m 58s	31.2%	54 MB	61 MB	8 GB	17.3 KB
